WInfoID,daily,season,pm25,rainPrec,cloudCover,WindSpeed,relHumid,visibility,mean,routeID,locID,stationID
4945,10/28/2018 22:19,,,,,,,,5.933333333,r76,cor41,
4946,4/18/2020 9:42,,,,,,,,12.696,r36,cor39,
4947,4/18/2020 8:48,,,,,,,,15.75,r10,cor6,
4948,10/28/2018 21:57,,,,,,,,13.6125,r74,cor26,
4949,10/28/2018 21:03,,,,,,,,11.64,r58,cor37,
4950,4/21/2020 22:47,,,,,,,,1.74583333,r44,cor32,
4951,10/28/2018 21:02,,,,,,,,12.24583333,r18,cor8,
4952,4/18/2020 9:15,,,,,,,,12.228,r1,cor18,
4953,10/28/2018 21:07,,,,,,,,2.84166667,r6,cor29,
4954,10/21/2019 15:22,,,,,,,,2.27916667,r36,cor11,
4955,4/18/2020 9:10,,,,,,,,19.368,r42,cor29,
4956,10/28/2018 21:02,,,,,,,,6.383333333,r29,cor16,
4957,4/21/2020 21:32,,,,,,,,1.5375,r20,cor15,
4958,10/28/2018 22:27,,,,,,,,3.52,r41,cor11,
4959,4/18/2020 10:09,,,,,,,,8.854166667,r42,cor41,
4960,4/21/2020 21:10,,,,,,,,7.4,r6,cor1,
4961,10/28/2018 22:17,,,,,,,,4.9125,r16,cor43,
4962,10/21/2019 13:32,,,,,,,,3.341666667,r69,cor28,
4963,10/21/2019 13:51,,,,,,,,8.333333333,r71,cor38,
4964,10/21/2019 13:56,,,,,,,,6.62,r56,cor4,
4965,10/28/2018 20:08,,,,,,,,3.566666667,r2,cor22,
4966,4/18/2020 9:50,,,,,,,,4.25,r43,cor8,
4967,10/21/2019 15:14,,,,,,,,4.48,r58,cor22,
4968,10/21/2019 15:03,,,,,,,,2.18333333,r68,cor25,
4969,10/21/2019 15:13,,,,,,,,3.841666667,r58,cor38,
4970,10/28/2018 21:40,,,,,,,,6.752,r58,cor11,
4971,4/21/2020 21:17,,,,,,,,7.416666667,r76,cor34,
4972,10/28/2018 20:07,,,,,,,,8.4375,r71,cor5,
4973,10/28/2018 20:41,,,,,,,,13.936,r56,cor14,
4974,4/18/2020 8:50,,,,,,,,1.94583333,r56,cor12,
4975,4/21/2020 20:37,,,,,,,,9.745833333,r38,cor5,
4976,4/18/2020 8:20,,,,,,,,1.392,r12,cor14,
4977,4/21/2020 22:31,,,,,,,,4.62833333,r69,cor38,
4978,10/28/2018 20:20,,,,,,,,2.6125,r43,cor17,
4979,4/21/2020 21:29,,,,,,,,13.52,r8,cor31,
4980,4/18/2020 10:07,,,,,,,,6.458333333,r53,cor11,
4981,10/28/2018 21:41,,,,,,,,5.2,r61,cor2,
4982,10/28/2018 20:04,,,,,,,,6.8,r26,cor2,
4983,4/21/2020 22:54,,,,,,,,8.55,r38,cor41,
4984,4/18/2020 9:19,,,,,,,,5.825,r48,cor3,
4985,4/21/2020 23:05,,,,,,,,3.588,r50,cor5,
4986,10/28/2018 21:42,,,,,,,,6.963636364,r70,cor43,
4987,10/28/2018 20:15,,,,,,,,3.658333333,r65,cor7,
4988,4/18/2020 8:19,,,,,,,,2.552,r62,cor16,
4989,10/28/2018 22:03,,,,,,,,4.545833333,r71,cor26,
4990,4/18/2020 8:26,,,,,,,,5.12833333,r24,cor15,
4991,10/21/2019 15:14,,,,,,,,2.34,r42,cor41,
4992,4/21/2020 21:36,,,,,,,,5.416666667,r55,cor28,
4993,10/21/2019 12:51,,,,,,,,2.9875,r61,cor21,
4994,4/18/2020 8:08,,,,,,,,7.464,r30,cor6,
4995,4/21/2020 23:02,,,,,,,,2.745833333,r79,cor45,
4996,4/18/2020 9:53,,,,,,,,3.34166667,r52,cor29,
4997,10/21/2019 14:16,,,,,,,,11.6,r5,cor16,
4998,4/18/2020 9:02,,,,,,,,1.8,r38,cor5,
4999,4/21/2020 22:50,,,,,,,,2.72833333,r18,cor7,
5000,4/18/2020 10:00,,,,,,,,3.1375,r80,cor33,
5001,10/28/2018 21:04,,,,,,,,4.966666667,r31,cor43,
5002,10/28/2018 21:54,,,,,,,,9.83333333,r21,cor24,
5003,4/18/2020 8:50,,,,,,,,12.712,r4,cor44,
5004,4/21/2020 22:39,,,,,,,,4.6125,r66,cor6,
5005,4/21/2020 21:07,,,,,,,,4.2125,r12,cor20,
5006,10/21/2019 14:42,,,,,,,,4.288,r39,cor13,
5007,10/21/2019 14:04,,,,,,,,6.2625,r67,cor17,
5008,10/21/2019 15:06,,,,,,,,5.5,r29,cor22,
5009,4/21/2020 21:23,,,,,,,,2.936,r31,cor22,
5010,4/18/2020 10:38,,,,,,,,4.154166667,r31,cor6,
5011,4/21/2020 21:01,,,,,,,,7.925,r52,cor3,
5012,10/21/2019 12:42,,,,,,,,4.31,r1,cor18,
5013,10/28/2018 21:38,,,,,,,,,r45,cor33,
5014,10/28/2018 20:26,,,,,,,,,r5,cor30,
5015,10/21/2019 15:17,,,,,,,,1.8,r68,cor13,
5016,10/28/2018 20:55,,,,,,,,11.29583333,r15,cor46,
5017,4/18/2020 10:12,,,,,,,,5.766666667,r46,cor18,
5018,4/21/2020 22:39,,,,,,,,9.536,r66,cor1,
5019,4/18/2020 8:56,,,,,,,,11.6,r63,cor42,
5020,4/21/2020 22:46,,,,,,,,9.45,r33,cor30,
5021,10/28/2018 21:12,,,,,,,,2.184,r65,cor23,
5022,4/18/2020 9:25,,,,,,,,5.25,r26,cor46,
5023,4/21/2020 21:57,,,,,,,,4.729166667,r1,cor32,
5024,10/21/2019 12:50,,,,,,,,7.44,r57,cor34,
5025,10/28/2018 21:51,,,,,,,,4.92833333,r37,cor19,
5026,4/21/2020 22:38,,,,,,,,3.791666667,r37,cor9,
5027,10/28/2018 20:37,,,,,,,,3.183333333,r65,cor11,
5028,4/18/2020 9:41,,,,,,,,9.354166667,r69,cor12,
5029,10/28/2018 22:22,,,,,,,,9.34166667,r56,cor21,
5030,10/28/2018 21:16,,,,,,,,7.24,r58,cor40,
5031,10/21/2019 13:32,,,,,,,,9.845833333,r57,cor19,
5032,10/21/2019 14:08,,,,,,,,1.59166667,r2,cor42,
5033,4/21/2020 22:06,,,,,,,,7.112,r36,cor11,
5034,4/18/2020 8:26,,,,,,,,7.375,r5,cor5,
5035,10/21/2019 13:53,,,,,,,,15.89583333,r24,cor16,
5036,4/18/2020 8:58,,,,,,,,13.4,r32,cor26,
5037,4/18/2020 10:05,,,,,,,,7.966666667,r38,cor36,
5038,4/18/2020 10:11,,,,,,,,8.3875,r28,cor15,
5039,4/18/2020 8:33,,,,,,,,14.44,r6,cor31,
5040,10/21/2019 15:05,,,,,,,,7.625,r72,cor5,
5041,4/18/2020 10:20,,,,,,,,7.9375,r61,cor8,
5042,4/18/2020 9:05,,,,,,,,13.688,r69,cor24,
5043,4/21/2020 22:11,,,,,,,,17.26666667,r73,cor28,
5044,4/21/2020 20:43,,,,,,,,9.6875,r80,cor30,
5045,4/21/2020 20:47,,,,,,,,8.1176476,r78,cor39,
5046,4/18/2020 8:18,,,,,,,,,r5,cor21,
5047,10/21/2019 12:44,,,,,,,,1.35555556,r2,cor29,
5048,10/21/2019 13:50,,,,,,,,11.264,r32,cor9,
5049,10/21/2019 14:57,,,,,,,,22.79583333,r24,cor30,
5050,4/21/2020 22:45,,,,,,,,26.28333333,r22,cor35,
5051,10/21/2019 15:07,,,,,,,,13.232,r54,cor26,
5052,10/21/2019 14:00,,,,,,,,3.66666667,r63,cor29,
5053,4/18/2020 9:16,,,,,,,,3.7625,r65,cor7,
5054,10/28/2018 20:55,,,,,,,,4.544,r68,cor12,
5055,4/18/2020 8:57,,,,,,,,9.3875,r32,cor7,
5056,10/21/2019 13:32,,,,,,,,9.7833333,r13,cor1,
5057,4/18/2020 10:44,,,,,,,,9.6125,r9,cor24,
5058,10/21/2019 14:43,,,,,,,,14.5,r74,cor26,
5059,4/21/2020 22:16,,,,,,,,22.4783333,r68,cor4,
5060,10/28/2018 21:10,,,,,,,,21.772,r37,cor14,
5061,4/21/2020 22:26,,,,,,,,24.18333333,r27,cor21,
5062,10/28/2018 22:34,,,,,,,,2.64166667,r24,cor3,
5063,10/28/2018 22:00,,,,,,,,25.92,r51,cor18,
5064,4/18/2020 10:42,,,,,,,,23.45416667,r39,cor38,
5065,4/21/2020 20:35,,,,,,,,15.59166667,r65,cor44,
5066,4/21/2020 23:09,,,,,,,,14.492,r65,cor18,
5067,10/21/2019 14:33,,,,,,,,6.4166667,r33,cor17,
5068,10/21/2019 13:05,,,,,,,,14.17916667,r72,cor18,
5069,4/18/2020 9:54,,,,,,,,13.644,r57,cor33,
5070,4/18/2020 9:46,,,,,,,,2.7125,r36,cor40,
5071,4/18/2020 9:14,,,,,,,,5.441666667,r59,cor28,
5072,4/21/2020 20:33,,,,,,,,11.948,r27,cor42,
5073,10/28/2018 21:19,,,,,,,,9.529166667,r61,cor32,
5074,10/21/2019 14:24,,,,,,,,11.48333333,r12,cor3,
5075,4/18/2020 10:40,,,,,,,,19.724,r10,cor41,
5076,10/28/2018 20:49,,,,,,,,32.7916667,r28,cor17,
5077,4/21/2020 20:54,,,,,,,,8.3913435,r25,cor23,
5078,4/18/2020 9:10,,,,,,,,3.94,r2,cor45,
5079,10/21/2019 13:54,,,,,,,,6.691666667,r38,cor1,
5080,4/18/2020 8:23,,,,,,,,9.45833333,r5,cor2,
5081,4/21/2020 22:36,,,,,,,,9.112,r7,cor12,
5082,4/21/2020 21:08,,,,,,,,6.6125,r36,cor27,
5083,10/28/2018 22:25,,,,,,,,9.166666667,r47,cor25,
5084,10/28/2018 22:32,,,,,,,,8.92,r36,cor34,
5085,10/28/2018 21:17,,,,,,,,9.966666667,r20,cor37,
5086,10/28/2018 21:12,,,,,,,,12.1416667,r15,cor23,
5087,10/28/2018 21:39,,,,,,,,3.56,r57,cor46,
5088,4/18/2020 8:54,,,,,,,,9.4625,r49,cor36,
5089,10/21/2019 14:39,,,,,,,,9.391666667,r77,cor35,
5090,10/21/2019 14:37,,,,,,,,6.116,r44,cor12,
5091,4/21/2020 21:54,,,,,,,,7.854545455,r7,cor36,
5092,4/18/2020 8:44,,,,,,,,18.67916667,r24,cor6,
5093,10/21/2019 12:51,,,,,,,,14.84,r11,cor10,
5094,4/21/2020 22:00,,,,,,,,4.58333333,r71,cor19,
5095,10/28/2018 22:32,,,,,,,,12.39583333,r13,cor22,
5096,10/21/2019 14:00,,,,,,,,9.56,r28,cor41,
5097,4/18/2020 10:41,,,,,,,,4.129166667,r50,cor34,
5098,10/21/2019 14:00,,,,,,,,13.79583333,r47,cor32,
5099,4/21/2020 21:08,,,,,,,,8.968,r37,cor27,
5100,4/21/2020 22:07,,,,,,,,3.425,r62,cor22,
5101,10/28/2018 21:45,,,,,,,,4.7875,r60,cor18,
5102,10/28/2018 20:29,,,,,,,,7.316,r27,cor5,
5103,4/21/2020 20:42,,,,,,,,11.39166667,r76,cor35,
5104,4/18/2020 8:17,,,,,,,,1.29583333,r12,cor20,
5105,10/28/2018 21:23,,,,,,,,2.664,r29,cor37,
5106,4/18/2020 8:23,,,,,,,,5.733333333,r34,cor23,
5107,4/18/2020 8:14,,,,,,,,12.7916667,r61,cor36,
5108,4/18/2020 10:27,,,,,,,,14.12,r14,cor41,
5109,10/21/2019 13:09,,,,,,,,12.6375,r67,cor4,
5110,10/21/2019 14:16,,,,,,,,5.983333333,r54,cor36,
5111,10/28/2018 22:28,,,,,,,,7.268,r9,cor47,
5112,10/28/2018 22:09,,,,,,,,8.133333333,r66,cor13,
5113,4/21/2020 22:25,,,,,,,,2.3375,r26,cor40,
5114,10/21/2019 12:58,,,,,,,,26.988,r67,cor40,
5115,10/21/2019 12:59,,,,,,,,12.8125,r13,cor36,
5116,4/18/2020 8:24,,,,,,,,1.875,r51,cor43,
5117,4/21/2020 22:44,,,,,,,,6.888,r27,cor37,
5118,10/21/2019 14:44,,,,,,,,7.425,r65,cor6,
5119,4/21/2020 23:04,,,,,,,,3.95,r72,cor16,
5120,10/28/2018 22:00,,,,,,,,4.968,r59,cor32,
5121,10/21/2019 15:22,,,,,,,,7.9375,r39,cor40,
5122,4/21/2020 22:00,,,,,,,,16.5,r74,cor13,
5123,10/21/2019 13:59,,,,,,,,16.136,r14,cor3,
5124,10/28/2018 21:19,,,,,,,,5.475,r43,cor24,
5125,10/28/2018 20:24,,,,,,,,1.41666667,r44,cor29,
5126,4/18/2020 10:17,,,,,,,,8.832,r23,cor24,
5127,4/21/2020 20:41,,,,,,,,11.37916667,r8,cor33,
5128,10/28/2018 22:34,,,,,,,,4.929166667,r67,cor5,
5129,10/21/2019 14:40,,,,,,,,7.9,r80,cor14,
5130,4/18/2020 9:04,,,,,,,,9.22833333,r47,cor28,
5131,4/18/2020 9:33,,,,,,,,1.7833333,r38,cor23,
5132,10/28/2018 20:40,,,,,,,,1.868,r34,cor19,
5133,10/28/2018 22:07,,,,,,,,14.51666667,r4,cor10,
5134,10/21/2019 13:44,,,,,,,,21.86666667,r70,cor13,
5135,4/18/2020 9:52,,,,,,,,21.344,r15,cor26,
5136,10/28/2018 20:21,,,,,,,,7.37833333,r44,cor14,
5137,4/21/2020 20:46,,,,,,,,3.741666667,r26,cor31,
5138,10/28/2018 20:26,,,,,,,,4.52,r28,cor42,
5139,4/21/2020 22:36,,,,,,,,14.9125,r29,cor1,
5140,4/18/2020 10:01,,,,,,,,11.53333333,r60,cor43,
5141,10/21/2019 13:45,,,,,,,,11.24,r17,cor26,
5142,4/21/2020 22:01,,,,,,,,1.24583333,r69,cor10,
5143,10/21/2019 13:49,,,,,,,,6.4625,r14,cor31,
5144,4/21/2020 23:11,,,,,,,,9.54,r7,cor31,
5145,4/21/2020 22:59,,,,,,,,6.866666667,r1,cor2,
5146,4/21/2020 21:26,,,,,,,,6.333333333,r20,cor18,
5147,4/18/2020 9:09,,,,,,,,11.932,r38,cor37,
5148,4/18/2020 9:58,,,,,,,,2.575,r22,cor17,
5149,10/28/2018 20:41,,,,,,,,18.3375,r5,cor19,
5150,4/21/2020 21:07,,,,,,,,9.548,r67,cor39,
5151,10/21/2019 13:45,,,,,,,,8.375,r46,cor34,
5152,10/28/2018 21:17,,,,,,,,14.375,r9,cor12,
5153,10/21/2019 12:42,,,,,,,,9.616,r45,cor12,
5154,4/18/2020 8:54,,,,,,,,5.9625,r11,cor25,
5155,4/21/2020 23:09,,,,,,,,3.79134348,r32,cor34,
5156,4/21/2020 22:44,,,,,,,,5.276,r72,cor27,
5157,4/18/2020 10:06,,,,,,,,11.6625,r78,cor26,
5158,4/18/2020 8:23,,,,,,,,12.4283333,r16,cor24,
5159,4/21/2020 22:29,,,,,,,,9.292,r44,cor21,
5160,10/28/2018 21:30,,,,,,,,17.16666667,r77,cor41,
5161,4/18/2020 9:55,,,,,,,,12.7875,r33,cor28,
5162,10/28/2018 20:24,,,,,,,,4.64,r11,cor7,
5163,10/28/2018 20:11,,,,,,,,1.52916667,r80,cor8,
5164,4/18/2020 8:31,,,,,,,,12.8416667,r15,cor44,
5165,10/28/2018 22:13,,,,,,,,2.8,r8,cor1,
5166,10/21/2019 14:01,,,,,,,,4.23913435,r57,cor19,
5167,10/21/2019 14:16,,,,,,,,11.575,r2,cor27,
5168,10/21/2019 14:42,,,,,,,,14.452,r46,cor28,
5169,10/21/2019 13:41,,,,,,,,6.4125,r28,cor1,
5170,10/21/2019 13:50,,,,,,,,1.8782687,r70,cor32,
5171,10/28/2018 21:25,,,,,,,,3.14,r68,cor11,
5172,10/21/2019 15:19,,,,,,,,9.91666667,r26,cor12,
5173,10/28/2018 20:08,,,,,,,,1.94166667,r65,cor24,
5174,4/18/2020 9:03,,,,,,,,7.628,r52,cor10,
5175,4/21/2020 21:45,,,,,,,,8.82833333,r26,cor29,
5176,10/28/2018 21:01,,,,,,,,16,r68,cor40,
5177,4/18/2020 8:07,,,,,,,,21.892,r1,cor8,
5178,4/18/2020 8:27,,,,,,,,12.7625,r34,cor46,
5179,10/21/2019 14:32,,,,,,,,5.64166667,r8,cor15,
5180,10/21/2019 13:35,,,,,,,,4.632,r59,cor47,
5181,10/28/2018 22:12,,,,,,,,3.94166667,r69,cor17,
5182,10/28/2018 20:54,,,,,,,,8.129166667,r56,cor29,
5183,10/28/2018 20:20,,,,,,,,4.85,r40,cor27,
5184,4/18/2020 10:19,,,,,,,,2.945833333,r19,cor26,
5185,10/21/2019 14:16,,,,,,,,3.279166667,r66,cor30,
5186,4/21/2020 20:50,,,,,,,,5.156,r66,cor47,
5187,10/28/2018 21:21,,,,,,,,9.45,r79,cor26,
5188,4/21/2020 22:39,,,,,,,,13.325,r70,cor19,
5189,10/28/2018 21:55,,,,,,,,5.512,r31,cor40,
5190,4/18/2020 8:19,,,,,,,,2.564285714,r73,cor30,
5191,4/21/2020 21:03,,,,,,,,1.995833333,r43,cor17,
5192,10/28/2018 20:06,,,,,,,,9.384,r65,cor29,
5193,4/21/2020 21:53,,,,,,,,9.22833333,r60,cor19,
5194,4/21/2020 20:54,,,,,,,,6.279166667,r75,cor20,
5195,4/18/2020 10:29,,,,,,,,5.9,r71,cor36,
5196,4/21/2020 20:54,,,,,,,,12.2416667,r23,cor19,
5197,4/18/2020 8:58,,,,,,,,4.929166667,r5,cor33,
5198,10/28/2018 21:36,,,,,,,,2.56,r52,cor32,
5199,10/28/2018 22:03,,,,,,,,3.891666667,r63,cor45,
5200,10/28/2018 21:59,,,,,,,,9.541666667,r53,cor30,
5201,10/21/2019 15:08,,,,,,,,8.452,r20,cor13,
5202,4/21/2020 21:54,,,,,,,,4.233333333,r35,cor26,
5203,10/28/2018 21:49,,,,,,,,4,r4,cor28,
5204,4/21/2020 23:07,,,,,,,,3.68,r18,cor12,
5205,4/18/2020 8:07,,,,,,,,9.5625,r21,cor6,
5206,4/18/2020 8:57,,,,,,,,11.625,r55,cor23,
5207,4/18/2020 10:18,,,,,,,,5.4125,r40,cor42,
5208,10/28/2018 21:24,,,,,,,,3.13913435,r38,cor38,
5209,4/21/2020 20:31,,,,,,,,6.595833333,r35,cor6,
5210,4/18/2020 9:06,,,,,,,,4.84,r62,cor32,
5211,4/18/2020 9:35,,,,,,,,3.7125,r45,cor24,
5212,4/21/2020 21:37,,,,,,,,2.72833333,r44,cor23,
5213,10/28/2018 20:54,,,,,,,,5.512,r64,cor22,
5214,10/28/2018 21:40,,,,,,,,5.491666667,r8,cor14,
5215,4/21/2020 21:01,,,,,,,,9.679166667,r7,cor15,
5216,10/21/2019 13:30,,,,,,,,11.576,r5,cor13,
5217,4/18/2020 9:44,,,,,,,,11.93333333,r11,cor23,
5218,4/21/2020 20:38,,,,,,,,3.129166667,r18,cor13,
5219,10/28/2018 21:52,,,,,,,,6.524,r25,cor22,
5220,4/21/2020 22:09,,,,,,,,5.354166667,r11,cor4,
5221,4/18/2020 9:47,,,,,,,,2.4,r10,cor7,
5222,4/18/2020 9:28,,,,,,,,3.644,r26,cor11,
5223,4/21/2020 21:59,,,,,,,,8.25,r58,cor18,
5224,4/21/2020 22:06,,,,,,,,4.391666667,r9,cor29,
5225,10/21/2019 14:00,,,,,,,,4.248,r67,cor47,
5226,4/18/2020 8:32,,,,,,,,7.375,r15,cor42,
5227,4/18/2020 8:21,,,,,,,,5.495833333,r36,cor6,
5228,10/21/2019 14:32,,,,,,,,7.312,r23,cor37,
5229,10/21/2019 12:51,,,,,,,,3.354166667,r59,cor3,
5230,4/21/2020 21:03,,,,,,,,5.2625,r22,cor7,
5231,4/18/2020 8:21,,,,,,,,3.868,r16,cor2,
5232,4/18/2020 9:06,,,,,,,,9.116666667,r49,cor14,
5233,4/21/2020 21:52,,,,,,,,9.683333333,r69,cor43,
5234,10/28/2018 21:56,,,,,,,,7.552,r15,cor26,
5235,4/18/2020 9:44,,,,,,,,3.67833333,r14,cor20,
5236,4/18/2020 9:32,,,,,,,,12.7,r5,cor39,
5237,4/18/2020 10:27,,,,,,,,6.24166667,r1,cor45,
5238,10/21/2019 15:21,,,,,,,,9.2875,r70,cor39,
5239,4/21/2020 22:37,,,,,,,,7.183333333,r63,cor42,
5240,4/21/2020 22:51,,,,,,,,8.8,r64,cor11,
5241,4/18/2020 9:17,,,,,,,,1.575,r49,cor36,
5242,10/21/2019 12:57,,,,,,,,5.1625,r19,cor24,
5243,4/18/2020 9:53,,,,,,,,8.472,r63,cor20,
5244,10/21/2019 13:53,,,,,,,,7.175,r35,cor32,
5245,10/28/2018 21:44,,,,,,,,2.6625,r80,cor35,
5246,10/21/2019 14:33,,,,,,,,5.94,r65,cor24,
5247,4/21/2020 22:18,,,,,,,,8.575,r12,cor43,
5248,4/18/2020 10:20,,,,,,,,3.633333333,r69,cor5,
5249,4/18/2020 8:49,,,,,,,,6.54,r46,cor44,
5250,10/21/2019 13:30,,,,,,,,5.579166667,r12,cor25,
5251,4/21/2020 20:58,,,,,,,,4.195833333,r2,cor11,
5252,10/28/2018 20:00,,,,,,,,6.64,r63,cor18,
5253,4/21/2020 22:38,,,,,,,,6.191666667,r55,cor37,
5254,10/28/2018 21:05,,,,,,,,4.4,r26,cor26,
5255,4/18/2020 8:53,,,,,,,,6.6,r38,cor30,
5256,10/28/2018 20:19,,,,,,,,,r69,cor25,
5257,4/18/2020 9:05,,,,,,,,7.442857143,r76,cor36,
5258,4/18/2020 9:30,,,,,,,,9.18,r12,cor18,
5259,4/18/2020 10:09,,,,,,,,7.466666667,r28,cor34,
5260,4/18/2020 8:16,,,,,,,,9.616666667,r39,cor29,
5261,10/28/2018 21:56,,,,,,,,7.988,r58,cor32,
5262,10/28/2018 22:18,,,,,,,,9.633333333,r51,cor4,
5263,4/21/2020 21:10,,,,,,,,6.379166667,r68,cor19,
5264,10/21/2019 13:53,,,,,,,,11.744,r26,cor23,
5265,4/18/2020 10:20,,,,,,,,6.795833333,r46,cor33,
5266,10/21/2019 14:32,,,,,,,,11.8416667,r65,cor16,
5267,4/18/2020 10:19,,,,,,,,14.28,r33,cor12,
5268,4/18/2020 10:19,,,,,,,,2.5,r71,cor9,
5269,10/21/2019 14:02,,,,,,,,12.3375,r24,cor22,
5270,10/28/2018 19:59,,,,,,,,7.568,r79,cor16,
5271,10/21/2019 13:11,,,,,,,,17.4166667,r51,cor6,
5272,4/21/2020 22:37,,,,,,,,11.16666667,r23,cor36,
5273,4/18/2020 9:39,,,,,,,,6.976,r80,cor38,
5274,4/21/2020 21:42,,,,,,,,7.82686957,r76,cor45,
5275,10/28/2018 21:29,,,,,,,,9.33333333,r49,cor27,
5276,10/21/2019 13:51,,,,,,,,7.756,r13,cor15,
5277,10/28/2018 20:47,,,,,,,,7.79166667,r37,cor35,
5278,10/28/2018 21:54,,,,,,,,12.15416667,r47,cor7,
5279,4/18/2020 9:38,,,,,,,,8.296,r78,cor45,
5280,4/18/2020 9:02,,,,,,,,7.8875,r15,cor29,
5281,10/28/2018 20:04,,,,,,,,11.54583333,r53,cor31,
5282,4/18/2020 9:04,,,,,,,,8.652,r16,cor6,
5283,10/28/2018 22:17,,,,,,,,4.97833333,r26,cor26,
5284,10/21/2019 14:16,,,,,,,,4.733333333,r27,cor44,
5285,10/21/2019 13:37,,,,,,,,6.752,r47,cor45,
5286,4/21/2020 21:39,,,,,,,,5.766666667,r68,cor31,
5287,10/28/2018 21:28,,,,,,,,9.925,r38,cor41,
5288,10/21/2019 12:44,,,,,,,,14.388,r2,cor15,
5289,4/18/2020 8:14,,,,,,,,14.825,r4,cor45,
5290,10/28/2018 22:19,,,,,,,,13,r35,cor37,
5291,4/18/2020 8:37,,,,,,,,12.332,r38,cor2,
5292,4/18/2020 9:52,,,,,,,,3.616666667,r24,cor34,
5293,10/28/2018 20:14,,,,,,,,3.91666667,r8,cor14,
5294,10/28/2018 22:21,,,,,,,,4.6,r80,cor43,
5295,4/21/2020 21:36,,,,,,,,8.25,r61,cor38,
5296,4/21/2020 21:53,,,,,,,,8.34166667,r80,cor34,
5297,10/21/2019 14:49,,,,,,,,9.856,r11,cor1,
5298,4/21/2020 21:49,,,,,,,,1.59583333,r44,cor9,
5299,10/21/2019 15:01,,,,,,,,4.14166667,r71,cor13,
5300,4/21/2020 22:23,,,,,,,,7.732,r78,cor29,
5301,10/28/2018 20:05,,,,,,,,6.931818182,r45,cor13,
5302,4/21/2020 21:00,,,,,,,,6.6375,r25,cor11,
5303,10/21/2019 14:15,,,,,,,,8.28,r52,cor14,
5304,10/28/2018 19:59,,,,,,,,1.75833333,r24,cor18,
5305,4/21/2020 22:51,,,,,,,,9.145833333,r31,cor43,
5306,4/18/2020 10:20,,,,,,,,9.64,r37,cor28,
5307,10/28/2018 22:15,,,,,,,,6.38333333,r27,cor19,
5308,10/28/2018 21:03,,,,,,,,5.795833333,r42,cor28,
5309,10/28/2018 21:33,,,,,,,,8.652,r80,cor18,
5310,10/21/2019 13:02,,,,,,,,9.366666667,r61,cor22,
5311,10/21/2019 12:49,,,,,,,,3.575,r5,cor11,
5312,10/21/2019 13:40,,,,,,,,4.892,r77,cor40,
5313,4/21/2020 21:58,,,,,,,,6.575,r58,cor2,
5314,10/28/2018 21:55,,,,,,,,5.266666667,r4,cor43,
5315,10/28/2018 20:07,,,,,,,,4.832,r63,cor20,
5316,4/21/2020 22:12,,,,,,,,2.254166667,r34,cor7,
5317,4/21/2020 22:09,,,,,,,,3.766666667,r21,cor28,
5318,4/18/2020 9:55,,,,,,,,6.344,r17,cor46,
5319,10/28/2018 20:02,,,,,,,,3.82833333,r51,cor37,
5320,10/28/2018 20:54,,,,,,,,3.345833333,r53,cor19,
5321,4/18/2020 9:56,,,,,,,,5.232,r60,cor15,
5322,10/21/2019 13:15,,,,,,,,5.595652174,r44,cor19,
5323,4/21/2020 21:54,,,,,,,,5.9125,r77,cor14,
5324,4/18/2020 10:42,,,,,,,,3.892,r74,cor23,
5325,4/18/2020 9:10,,,,,,,,6.229166667,r42,cor7,
5326,10/21/2019 14:43,,,,,,,,8.25,r54,cor11,
5327,4/21/2020 21:09,,,,,,,,7.464,r51,cor10,
5328,10/28/2018 20:25,,,,,,,,3.875,r14,cor31,
5329,10/21/2019 13:27,,,,,,,,4.395833333,r56,cor20,
5330,4/21/2020 23:08,,,,,,,,5.944,r24,cor21,
5331,4/18/2020 9:14,,,,,,,,4.7375,r72,cor46,
5332,10/28/2018 21:42,,,,,,,,3.254166667,r36,cor32,
5333,4/21/2020 23:04,,,,,,,,9.8333333,r7,cor9,
5334,4/18/2020 8:43,,,,,,,,11.8,r29,cor29,
5335,10/21/2019 13:16,,,,,,,,13.3125,r9,cor22,
5336,10/28/2018 21:24,,,,,,,,4.27833333,r63,cor4,
5337,10/28/2018 21:36,,,,,,,,3.625,r20,cor2,
5338,4/18/2020 8:13,,,,,,,,6.828,r76,cor13,
5339,4/21/2020 20:53,,,,,,,,7.38,r8,cor10,
5340,4/18/2020 9:45,,,,,,,,6.683333333,r27,cor21,
5341,10/28/2018 21:57,,,,,,,,9.38333333,r20,cor5,
5342,4/21/2020 22:56,,,,,,,,1.64,r76,cor12,
5343,10/21/2019 14:29,,,,,,,,11.13333333,r30,cor43,
5344,10/21/2019 14:31,,,,,,,,18.13333333,r69,cor35,
5345,4/21/2020 22:26,,,,,,,,11.152,r5,cor47,
5346,10/21/2019 15:09,,,,,,,,7.2875,r80,cor17,
5347,4/18/2020 9:44,,,,,,,,4.66666667,r77,cor11,
5348,10/28/2018 22:04,,,,,,,,5.98,r11,cor27,
5349,4/21/2020 22:49,,,,,,,,6.5625,r34,cor20,
5350,4/21/2020 20:33,,,,,,,,5.895833333,r43,cor39,
5351,10/28/2018 20:17,,,,,,,,6.36,r52,cor39,
5352,10/21/2019 13:17,,,,,,,,3.58333333,r28,cor26,
5353,10/28/2018 21:06,,,,,,,,5.395833333,r21,cor41,
5354,10/21/2019 15:07,,,,,,,,8.752,r21,cor35,
